物件番号,築年数,最寄駅距離,単位面積価格
1,32,84.87882,37.9
2,19.5,306.5947,42.2
3,13.3,561.9845,47.3
4,13.3,561.9845,54.8
5,5,390.5684,43.1
6,7.1,2175.03,32.1
7,34.5,623.4731,40.3
8,20.3,287.6025,46.7
9,31.7,5512.038,18.8
10,17.9,1783.18,22.1
11,34.8,405.2134,41.4
12,6.3,90.45606,58.1
13,13,492.2313,39.3
14,20.4,2469.645,23.8
15,13.2,1164.838,34.3
16,35.7,579.2083,50.5
17,0,292.9978,70.1
18,17.7,350.8515,37.4
19,16.9,368.1363,42.3
20,1.5,23.38284,47.7
21,4.5,2275.877,29.3
22,10.5,279.1726,51.6
23,14.7,1360.139,24.6
24,10.1,279.1726,47.9
25,39.6,480.6977,38.8
26,29.3,1487.868,27
27,3.1,383.8624,56.2
28,10.4,276.449,33.6
29,19.2,557.478,47
30,7.1,451.2438,57.1
31,25.9,4519.69,22.1
32,29.6,769.4034,25
33,37.9,488.5727,34.2
34,16.5,323.655,49.3
35,15.4,205.367,55.1
36,13.9,4079.418,27.3
37,14.7,1935.009,22.9
38,12,1360.139,25.3
39,3.1,577.9615,47.7
40,16.2,289.3248,46.2
41,13.6,4082.015,15.9
42,16.8,4066.587,18.2
43,36.1,519.4617,34.7
44,34.4,512.7871,34.1
45,2.7,533.4762,53.9
46,36.6,488.8193,38.3
47,21.7,463.9623,42
48,35.9,640.7391,61.5
49,24.2,4605.749,13.4
50,29.4,4510.359,13.2
51,21.7,512.5487,44.2
52,31.3,1758.406,20.7
53,32.1,1438.579,27
54,13.3,492.2313,38.9
55,16.1,289.3248,51.7
56,31.7,1160.632,13.7
57,33.6,371.2495,41.9
58,3.5,56.47425,53.5
59,30.3,4510.359,22.6
60,13.3,336.0532,42.4
61,11,1931.207,21.3
62,5.3,259.6607,63.2
63,17.2,2175.877,27.7
64,2.6,533.4762,55
65,17.5,995.7554,25.3
66,40.1,123.7429,44.3
67,1,193.5845,50.7
68,8.5,104.8101,56.8
69,30.4,464.223,36.2
70,12.5,561.9845,42
71,6.6,90.45606,59
72,35.5,640.7391,40.8
73,32.5,424.5442,36.3
74,13.8,4082.015,20
75,6.8,379.5575,54.4
76,12.3,1360.139,29.5
77,35.9,616.4004,36.8
78,20.5,2185.128,25.6
79,38.2,552.4371,29.8
80,18,1414.837,26.5
81,11.8,533.4762,40.3
82,30.8,377.7956,36.8
83,13.2,150.9347,48.1
84,25.3,2707.392,17.7
85,15.1,383.2805,43.7
86,0,338.9679,50.8
87,1.8,1455.798,27
88,16.9,4066.587,18.3
89,8.9,1406.43,48
90,23,3947.945,25.3
91,0,274.0144,45.4
92,9.1,1402.016,43.2
93,20.6,2469.645,21.8
94,31.9,1146.329,16.1
95,40.9,167.5989,41
96,8,104.8101,51.8
97,6.4,90.45606,59.5
98,28.4,617.4424,34.6
99,16.4,289.3248,51
100,6.4,90.45606,62.2
101,17.5,964.7496,38.2
102,12.7,170.1289,32.9
103,1.1,193.5845,54.4
104,0,208.3905,45.7
105,32.7,392.4459,30.5
106,0,292.9978,71
107,17.2,189.5181,47.1
108,12.2,1360.139,26.6
109,31.4,592.5006,34.1
110,4,2147.376,28.4
111,8.1,104.8101,51.6
112,33.3,196.6172,39.4
113,9.9,2102.427,23.1
114,14.8,393.2606,7.6
115,30.6,143.8383,53.3
116,20.6,737.9161,46.4
117,30.9,6396.283,12.2
118,13.6,4197.349,13
119,25.3,1583.722,30.6
120,16.6,289.3248,59.6
121,13.3,492.2313,31.3
122,13.6,492.2313,48
123,31.5,414.9476,32.5
124,0,185.4296,45.5
125,9.9,279.1726,57.4
126,1.1,193.5845,48.6
127,38.6,804.6897,62.9
128,3.8,383.8624,55
129,41.3,124.9912,60.7
130,38.5,216.8329,41
131,29.6,535.527,37.5
132,4,2147.376,30.7
133,26.6,482.7581,37.5
134,18,373.3937,39.5
135,33.4,186.9686,42.2
136,18.9,1009.235,20.8
137,11.4,390.5684,46.8
138,13.6,319.0708,47.4
139,10,942.4664,43.5
140,12.9,492.2313,42.5
141,16.2,289.3248,51.4
142,5.1,1559.827,28.9
143,19.8,640.6071,37.5
144,13.6,492.2313,40.1
145,11.9,1360.139,28.4
146,2.1,451.2438,45.5
147,0,185.4296,52.2
148,3.2,489.8821,43.2
149,16.4,3780.59,45.1
150,34.9,179.4538,39.7
151,35.8,170.7311,48.5
152,4.9,387.7721,44.7
153,12,1360.139,28.9
154,6.5,376.1709,40.9
155,16.9,4066.587,20.7
156,13.8,4082.015,15.6
157,30.7,1264.73,18.3
158,16.1,815.9314,35.6
159,11.6,390.5684,39.4
160,15.5,815.9314,37.4
161,3.5,49.66105,57.8
162,19.2,616.4004,39.6
163,16,4066.587,11.6
164,8.5,104.8101,55.5
165,0,185.4296,55.2
166,13.7,1236.564,30.6
167,0,292.9978,73.6
168,28.2,330.0854,43.4
169,27.6,515.1122,37.4
170,8.4,1962.628,23.5
171,24,4527.687,14.4
172,3.6,383.8624,58.8
173,6.6,90.45606,58.1
174,41.3,401.8807,35.1
175,4.3,432.0385,45.2
176,30.2,472.1745,36.5
177,13.9,4573.779,19.2
178,33,181.0766,42
179,13.1,1144.436,36.7
180,14,438.8513,42.6
181,26.9,4449.27,15.5
182,11.6,201.8939,55.9
183,13.5,2147.376,23.6
184,17,4082.015,18.8
185,14.1,2615.465,21.8
186,31.4,1447.286,21.5
187,20.9,2185.128,25.7
188,8.9,3078.176,22
189,34.8,190.0392,44.3
190,16.3,4066.587,20.5
191,35.3,616.5735,42.3
192,13.2,750.0704,37.8
193,43.8,57.58945,42.7
194,9.7,421.479,49.3
195,15.2,3771.895,29.3
196,15.2,461.1016,34.6
197,22.8,707.9067,36.6
198,34.4,126.7286,48.2
199,34,157.6052,39.1
200,18.2,451.6419,31.6
201,17.4,995.7554,25.5
202,13.1,561.9845,45.9
203,38.3,642.6985,31.5
204,15.6,289.3248,46.1
205,18,1414.837,26.6
206,12.8,1449.722,21.4
207,22.2,379.5575,44
208,38.5,665.0636,34.2
209,11.5,1360.139,26.2
210,34.8,175.6294,40.9
211,5.2,390.5684,52.2
212,0,274.0144,43.5
213,17.6,1805.665,31.1
214,6.2,90.45606,58
215,18.1,1783.18,20.9
216,19.2,383.7129,48.1
217,37.8,590.9292,39.7
218,28,372.6242,40.8
219,13.6,492.2313,43.8
220,29.3,529.7771,40.2
221,37.2,186.5101,78.3
222,9,1402.016,38.5
223,30.6,431.1114,48.5
224,9.1,1402.016,42.3
225,34.5,324.9419,46
226,1.1,193.5845,49
227,16.5,4082.015,12.8
228,32.4,265.0609,40.2
229,11.9,3171.329,46.6
230,31,1156.412,19
231,4,2147.376,33.4
232,16.2,4074.736,14.7
233,27.1,4412.765,17.4
234,39.7,333.3679,32.4
235,8,2216.612,23.9
236,12.9,250.631,39.3
237,3.6,373.8389,61.9
238,13,732.8528,39
239,12.8,732.8528,40.6
240,18.1,837.7233,29.7
241,11,1712.632,28.8
242,13.7,250.631,41.4
243,2,2077.39,33.4
244,32.8,204.1705,48.2
245,4.8,1559.827,21.7
246,7.5,639.6198,40.8
247,16.4,389.8219,40.6
248,21.7,1055.067,23.1
249,19,1009.235,22.3
250,18,6306.153,15
251,39.2,424.7132,30
252,31.7,1159.454,13.8
253,5.9,90.45606,52.7
254,30.4,1735.595,25.9
255,1.1,329.9747,51.8
256,31.5,5512.038,17.4
257,14.6,339.2289,26.5
258,17.3,444.1334,43.9
259,0,292.9978,63.3
260,17.7,837.7233,28.8
261,17,1485.097,30.7
262,16.2,2288.011,24.4
263,15.9,289.3248,53
264,3.9,2147.376,31.7
265,32.6,493.657,40.6
266,15.7,815.9314,38.1
267,17.8,1783.18,23.7
268,34.7,482.7581,41.1
269,17.2,390.5684,40.1
270,17.6,837.7233,23
271,10.8,252.5822,117.5
272,17.7,451.6419,26.5
273,13,492.2313,40.5
274,13.2,170.1289,29.3
275,27.5,394.0173,41
276,1.5,23.38284,49.7
277,19.1,461.1016,34
278,21.2,2185.128,27.7
279,0,208.3905,44
280,2.6,1554.25,31.1
281,2.3,184.3302,45.4
282,4.7,387.7721,44.8
283,2,1455.798,25.6
284,33.5,1978.671,23.5
285,15,383.2805,34.4
286,30.1,718.2937,55.3
287,5.9,90.45606,56.3
288,19.2,461.1016,32.9
289,16.6,323.6912,51
290,13.9,289.3248,44.5
291,37.7,490.3446,37
292,3.4,56.47425,54.4
293,17.5,395.6747,24.5
294,12.6,383.2805,42.5
295,26.4,335.5273,38.1
296,18.2,2179.59,21.8
297,12.5,1144.436,34.1
298,34.9,567.0349,28.5
299,16.7,4082.015,16.7
300,33.2,121.7262,46.1
301,2.5,156.2442,36.9
302,38,461.7848,35.7
303,16.5,2288.011,23.2
304,38.3,439.7105,38.4
305,20,1626.083,29.4
306,16.2,289.3248,55
307,14.4,169.9803,50.2
308,10.3,3079.89,24.7
309,16.4,289.3248,53
310,30.3,1264.73,19.1
311,16.4,1643.499,24.7
312,21.3,537.7971,42.2
313,35.4,318.5292,78
314,8.3,104.8101,42.8
315,3.7,577.9615,41.6
316,15.6,1756.411,27.3
317,13.3,250.631,42
318,15.6,752.7669,37.5
319,7.1,379.5575,49.8
320,34.6,272.6783,26.9
321,13.5,4197.349,18.6
322,16.9,964.7496,37.7
323,12.9,187.4823,33.1
324,28.6,197.1338,42.5
325,12.4,1712.632,31.3
326,36.6,488.8193,38.1
327,4.1,56.47425,62.1
328,3.5,757.3377,36.7
329,15.9,1497.713,23.6
330,13.6,4197.349,19.2
331,32,1156.777,12.8
332,25.6,4519.69,15.6
333,39.8,617.7134,39.6
334,7.8,104.8101,38.4
335,30,1013.341,22.8
336,27.3,337.6016,36.5
337,5.1,1867.233,35.6
338,31.3,600.8604,30.9
339,31.5,258.186,36.3
340,1.7,329.9747,50.4
341,33.6,270.8895,42.9
342,13,750.0704,37
343,5.7,90.45606,53.5
344,33.5,563.2854,46.6
345,34.6,3085.17,41.2
346,0,185.4296,37.9
347,13.2,1712.632,30.8
348,17.4,6488.021,11.2
349,4.6,259.6607,53.7
350,7.8,104.8101,47
351,13.2,492.2313,42.3
352,4,2180.245,28.6
353,18.4,2674.961,25.7
354,4.1,2147.376,31.3
355,12.2,1360.139,30.1
356,3.8,383.8624,60.7
357,10.3,211.4473,45.3
358,0,338.9679,44.9
359,1.1,193.5845,45.1
360,5.6,2408.993,24.7
361,32.9,87.30222,47.1
362,41.4,281.205,63.3
363,17.1,967.4,40
364,32.3,109.9455,48
365,35.3,614.1394,33.1
366,17.3,2261.432,29.5
367,14.2,1801.544,24.8
368,15,1828.319,20.9
369,18.2,350.8515,43.1
370,20.2,2185.128,22.8
371,15.9,289.3248,42.1
372,4.1,312.8963,51.7
373,33.9,157.6052,41.5
374,0,274.0144,52.2
375,5.4,390.5684,49.5
376,21.7,1157.988,23.8
377,14.7,1717.193,30.5
378,3.9,49.66105,56.8
379,37.3,587.8877,37.4
380,0,292.9978,69.7
381,14.1,289.3248,53.3
382,8,132.5469,47.3
383,16.3,3529.564,29.3
384,29.1,506.1144,40.3
385,16.1,4066.587,12.9
386,18.3,82.88643,46.6
387,0,185.4296,55.3
388,16.2,2103.555,25.6
389,10.4,2251.938,27.3
390,40.9,122.3619,67.7
391,32.8,377.8302,38.6
392,6.2,1939.749,31.3
393,42.7,443.802,35.3
394,16.9,967.4,40.3
395,32.6,4136.271,24.7
396,21.2,512.5487,42.5
397,37.1,918.6357,31.9
398,13.1,1164.838,32.2
399,14.7,1717.193,23
400,12.7,170.1289,37.3
